color,kilimi
Малиновий,Червоний
Синій,Синій
Червоний,Червоний
Ліловий,Фіолетовий
Брудно-фіолетовий,Фіолетовий
Брудно-рожевий,Рожевий
Рожевий,Рожевий
Зелений,Зелений
Кремовий,Беж
Мятний,Зелений
Блакитний,Блакитний
Сірий,Сірий
Фуксія,Фіолетовий
Бежевий,Беж
Світло-сірий,Сірий
Білий,Білий
Світло-коричневий,Темно-беж
Антрацит,Чорний
Топлене молоко,Беж
Коричневий,Коричневий
Темно-синій,Чорний
Фіолетовий,Фіолетовий
Темно-сірий,Сірий
Пісочний,Беж
Шампань,Рожевий
Пудровий,Рожевий
Індіго,Синій
Чорний,Чорний
Карамельний,Темно-беж
Бордовий,Червоний
Темно-коричневий,Коричневий
Бузковий,Фіолетовий
Бірюзовий,Блакитний
Цегляний,Помаранчевий
Світло-бежевий,Беж
Темно-зелений,Зелений
Слонова кістка,Беж
Оливковий,Зелений
Вишневий,Червоний
Салатовий,Салатовий
Жовтий,Жовтий
Кораловий,Червоний
Гірчичний,Жовтий
Золотий,Жовтий
Капучино,Темно-беж
Теракотовий,Помаранчевий
Ванільний,Беж
Світло-рожевий,Рожевий
Персиковий,Беж
